"species","longitude","latitude"
"Cetorhinus maximus",166.75,-49.25
"Cetorhinus maximus",166.25,-49.75
"Cetorhinus maximus",167.25,-49.75
"Cetorhinus maximus",173.25,-40.25
"Cetorhinus maximus",173.25,-40.75
"Cetorhinus maximus",173.75,-40.75
"Cetorhinus maximus",170.25,-41.25
"Cetorhinus maximus",170.75,-41.25
"Cetorhinus maximus",170.25,-42.75
"Cetorhinus maximus",172.75,-43.75
"Cetorhinus maximus",173.75,-43.25
"Cetorhinus maximus",173.75,-43.75
"Cetorhinus maximus",174.75,-43.25
"Cetorhinus maximus",174.75,-43.75
"Cetorhinus maximus",171.75,-44.25
"Cetorhinus maximus",171.25,-44.75
"Cetorhinus maximus",172.75,-44.75
"Cetorhinus maximus",174.75,-44.25
"Cetorhinus maximus",175.25,-40.25
"Cetorhinus maximus",178.75,-42.25
"Cetorhinus maximus",170.75,-46.25
"Cetorhinus maximus",170.25,-46.75
"Cetorhinus maximus",178.75,-48.25
"Cetorhinus maximus",166.25,-50.25
"Cetorhinus maximus",166.25,-50.75
"Cetorhinus maximus",166.75,-50.75
"Cetorhinus maximus",167.75,-50.25
"Cetorhinus maximus",167.25,-50.75
"Cetorhinus maximus",170.25,-51.75
"Cetorhinus maximus",170.25,-52.75
"Cetorhinus maximus",172.25,-52.75
"Cetorhinus maximus",-37.25,-4.75
"Cetorhinus maximus",-33.75,-5.25
"Cetorhinus maximus",-80.75,-0.75
"Cetorhinus maximus",-81.75,-0.75
"Cetorhinus maximus",-90.25,-1.75
"Cetorhinus maximus",-77.25,-11.75
"Cetorhinus maximus",-79.75,-12.25
"Cetorhinus maximus",-45.75,-24.25
"Cetorhinus maximus",-72.25,-27.75
"Cetorhinus maximus",-177.25,-29.25
"Cetorhinus maximus",-177.75,-29.25
"Cetorhinus maximus",-54.25,-34.75
"Cetorhinus maximus",-52.25,-36.75
"Cetorhinus maximus",-72.25,-31.75
"Cetorhinus maximus",-72.25,-32.25
"Cetorhinus maximus",-72.25,-32.75
"Cetorhinus maximus",-72.25,-33.25
"Cetorhinus maximus",-72.25,-33.75
"Cetorhinus maximus",-72.75,-35.25
"Cetorhinus maximus",-73.25,-36.75
"Cetorhinus maximus",-73.25,-37.25
"Cetorhinus maximus",-73.75,-39.75
"Cetorhinus maximus",-75.25,-36.25
"Cetorhinus maximus",-55.25,-41.25
"Cetorhinus maximus",-62.25,-40.25
"Cetorhinus maximus",-74.25,-41.75
